time,pos1,pos2,vel1,vel2,acc1,acc2,tau0,tau1
0.172,-0.0219627,-0.162632,-0.47196,-1.11297,-4.27700000000009,1.30000000000011,-1.12167,-0.618805
0.173,-0.0224368,-0.163744,-0.47622,-1.11165,-4.25999999999998,1.31999999999999,-1.12138,-0.61877
0.174,-0.0229151,-0.164855,-0.480464,-1.11032,-4.24400000000002,1.33000000000005,-1.12106,-0.618725
0.175,-0.0233977,-0.165965,-0.484692,-1.10896,-4.22800000000001,1.36000000000003,-1.12071,-0.618669
0.176,-0.0238845,-0.167073,-0.488902,-1.10759,-4.20999999999999,1.36999999999987,-1.12034,-0.618602
0.177,-0.0243755,-0.16818,-0.493096,-1.1062,-4.19399999999997,1.39,-1.11994,-0.618525
0.178,-0.0248707,-0.169286,-0.497272,-1.10479,-4.17600000000001,1.41000000000013,-1.11951,-0.618436
0.179,-0.02537,-0.17039,-0.50143,-1.10337,-4.15800000000005,1.41999999999998,-1.11906,-0.618337
0.18,-0.0258735,-0.171492,-0.505571,-1.10193,-4.14099999999995,1.43999999999988,-1.11857,-0.618226
0.181,-0.0263812,-0.172594,-0.509693,-1.10047,-4.12199999999996,1.46000000000002,-1.11807,-0.618105
0.182,-0.0268929,-0.173693,-0.513797,-1.099,-4.10399999999999,1.47000000000008,-1.11753,-0.617972
0.183,-0.0274088,-0.174792,-0.517883,-1.0975,-4.08600000000003,1.50000000000006,-1.11697,-0.617829
0.184,-0.0279287,-0.175888,-0.521949,-1.096,-4.06600000000001,1.49999999999983,-1.11638,-0.617674
0.185,-0.0284526,-0.176984,-0.525997,-1.09447,-4.04800000000005,1.53000000000003,-1.11576,-0.617509
0.186,-0.0289807,-0.178077,-0.530025,-1.09293,-4.02799999999992,1.5400000000001,-1.11512,-0.617332
0.187,-0.0295127,-0.17917,-0.534034,-1.09137,-4.00900000000004,1.56,-1.11445,-0.617144
0.188,-0.0300487,-0.18026,-0.538023,-1.0898,-3.98900000000002,1.56999999999985,-1.11375,-0.616945
0.189,-0.0305887,-0.181349,-0.541991,-1.08821,-3.96799999999997,1.5900000000002,-1.11303,-0.616735
0.19,-0.0311327,-0.182437,-0.54594,-1.08661,-3.94899999999998,1.59999999999982,-1.11227,-0.616513
0.191,-0.0316806,-0.183522,-0.549868,-1.08499,-3.92800000000004,1.62000000000018,-1.1115,-0.61628
0.192,-0.0322324,-0.184606,-0.553775,-1.08335,-3.90699999999999,1.63999999999986,-1.11069,-0.616036
0.193,-0.0327881,-0.185689,-0.557662,-1.0817,-3.88699999999997,1.64999999999993,-1.10986,-0.615781
0.194,-0.0333477,-0.18677,-0.561527,-1.08003,-3.865,1.67000000000006,-1.109,-0.615514
0.195,-0.0339112,-0.187849,-0.565371,-1.07835,-3.84399999999995,1.68000000000012,-1.10811,-0.615236
0.196,-0.0344785,-0.188927,-0.569193,-1.07665,-3.82199999999999,1.69999999999981,-1.1072,-0.614946
0.197,-0.0350496,-0.190002,-0.572994,-1.07494,-3.80100000000005,1.7100000000001,-1.10626,-0.614645
0.198,-0.0356245,-0.191076,-0.576773,-1.07321,-3.77899999999997,1.73000000000001,-1.10529,-0.614332
0.199,-0.0362031,-0.192149,-0.580529,-1.07146,-3.75599999999998,1.74999999999992,-1.10429,-0.614008
0.2,-0.0367855,-0.193219,-0.584263,-1.0697,-3.73400000000001,1.75999999999998,-1.10327,-0.613673
0.201,-0.0373716,-0.194288,-0.587974,-1.06793,-3.71100000000002,1.77000000000005,-1.10222,-0.613326
0.202,-0.0379614,-0.195355,-0.591662,-1.06614,-3.68800000000002,1.78999999999996,-1.10115,-0.612968
